TickerStock;TickerETF;TickerFuture;TickerIndex;TickerFundMutual;TickerCurrency
CCA.TO;XEMB.SW;YDT5.AX;^NQUSB3537EUR;YDT5.AX;SAREGP=X
CAL.TO;26642670.IR;IBP5.AX;^OMXBPI;IBP5.AX;19753424.SW
BZU.MI;XMBR.MI;CIM1525-C.BO;BTHP.Z;CIM1525-C.BO;SZLUSD=X
BWOWF;BULL-EL-X4-S.ST;EOA9.AX;^OMXB10GI;EOA9.AX;SGDAUD=X
BWEL;UEF7.NX;IBSG5.AX;^NQDMEU1700LMEURN;IBSG5.AX;SGDNGN=X
BVMF3.SA;SHRT-ENERGI-H.ST;RNF1628-C.BO;^NQUSS1700CAD;RNF1628-C.BO;SBDGBP=X
BTHE;P3W1.BE;CMV1529-C.BO;ENEIBRAZ.FGI;CMV1529-C.BO;SHP=X
BTCS;SYB4.SG;RNU1524-C.BO;WIBRA1000.FGI;RNU1524-C.BO;SEK=X
BT-A.L;SYB3.F;SCU1524-C.BO;^NQUSB2770JPYT;SCU1524-C.BO;SEKCAD=X
BSDE.JK;SYBS.SG;EOF6.AX;^NQMEA8300EUR;EOF6.AX;19838326.SW
BSCA;EAGG.NX;SCX1526-C.BO;IDX_BFI.CM;SCX1526-C.BO;SBDCHF=X
BRY.TO;SWEO_NOEU28.ST;RNK1626-C.BO;^BCOMAL2T;RNK1626-C.BO;SZLEUR=X
BRW.L;SSGF.BE;CMU1524-C.BO;^DJBTR;CMU1524-C.BO;SARQAR=X
BRSN.L;TRS5.L;IBU5.AX;^NQID1000EURN;IBU5.AX;SYPCHF=X
BRPC;BEAR-SILVER-X4-S.;77233024.EX;^NQUSS4570T;77233024.EX;SEKMUR=X
BRMS.JK;79HB.L;IBSJ6.AX;^NQUSB4577GBP;IBSJ6.AX;STD=X
BRM.V;CMW.TO;IBSU6.AX;^NQBRIC5000N;IBSU6.AX;SARMAD=X
BRGYY;590107.BO;C3ARZ7.EX;^NQUSB7530GBP;C3ARZ7.EX;SEKRUB=X
BR.TO;XEMB.MI;GLM1525-C.BO;BENF.Z;GLM1525-C.BO;SGDMOP=X
BOY.TO;AMEB.SG;CIZ1531-C.BO;^NQGB3500LMEUR;CIZ1531-C.BO;19753443.SW
BOSCHLTD.NS;GOVS.NX;CMH1526-C.BO;^NQUSB2793GBPT;CMH1526-C.BO;SGDUGX=X
BOPH;CSIO_TTD27.ST;GK17U.AX;^NQBRIC9000LMT;GK17U.AX;SGDPEN=X
BOCA-CL;77DR.L;YDC5.AX;^NQBRAUDN;YDC5.AX;SARUSD=X
BNXR;HEE-A.TO;CPBKOT-A;^NQBRIC8000LMAUD;CPBKOT-A;SGDHUF=X
BNP.TO;UEFI.F;GJ16H.AX;^UKCORI13;GJ16H.AX;SGDCHF=X
BNKJF;COVR.DE;GK18Z.AX;^NQUSB2727AUD;GK18Z.AX;SEKTWD=X
BNK.TO;PNTR-236.TA;IBZ5.AX;^BCOMCC6;IBZ5.AX;SARTWD=X
BMY.L;BUND5L.MI;GLV1529-C.BO;^MSBBDTR;GLV1529-C.BO;SEKCHF=X
BMTNF;TCLT-74.TA;CIF1628-C.BO;^NQAU1000CAD;CIF1628-C.BO;SEKCNY=X
BLX.TO;TCSP-123.TA;CMF1628-C.BO;^CTLLER6M;CMF1628-C.BO;SCR=X
BLNX.L;46LF.L;IBN7.AX;^ULTAESTC;IBN7.AX;19838330.SW
BLKG;BEAR-VENAJAX2-NF.;GLK1626-C.BO;^NQASPA1700LMCAD;GLK1626-C.BO;SGDZWL=X
BLIAQ;IBGL.L;EO21F.AX;^NQEMEU8300LMCADN;EO21F.AX;SARILS=X
BLGA;50QD.L;SCN1530-C.BO;^NQGB8300LMEURT;SCN1530-C.BO;SEKCNH=X
BKSL.JK;P63974.MI;XDM5.AX;^NQUSB2757GBP;XDM5.AX;10366999.EX
BKN.DE;87225.L;GK16H.AX;^NQUSB5553N;GK16H.AX;SGDCAD=X
BKM.V;238670.KS;GK19M.AX;^NQPL1000AUDT;GK19M.AX;SARKRW=X
BKI.TO;69GO.L;IBI6.AX;^NQSE1000SEKT;IBI6.AX;SEKJPY=X
BK-PC;BCM.A;SCJ1628-C.BO;^XMACTRU;SCJ1628-C.BO;SGDPHP=X
BISN;NBF_EC84_A930B.ST;IBSX6.AX;^NQASIA1000LMGBPN;IBSX6.AX;SEKTND=X
BIR.TO;RQE.TO;CHK1528-C.BO;^NQNA8300AUDT;CHK1528-C.BO;19753566.SW
BIN.TO;^INSYBNP;EOA8.AX;^BCOMCC;EOA8.AX;SGDQAR=X
BHWB;ISQI.DU;C3RIZ7.EX;^CMLETR3Y;C3RIZ7.EX;SEKRSD=X
BHEL.BO;^ADRE;NBZ1531-C.BO;^NQEURO1000EURT;NBZ1531-C.BO;SEKCLP=X
BGO.L;XDGU.MI;IBE7.AX;^NQBR0001CADT;IBE7.AX;SEKSGD=X
BGEO.L;EXHJ.DE;EO20F.AX;^NQBRIC5000JPYN;EO20F.AX;SGDBGN=X
BG.V;LDCE.DE;IBE6.AX;^CMCIEMPI;IBE6.AX;SEKKRW=X
BFCF;CBN-A.TO;YOI5.AX;^NQUSB1757T;YOI5.AX;SARGBP=X
BEST;46CQ.L;CFRIM6.EX;WIAUT8350.L;CFRIM6.EX;SGDBWP=X
BELLY;B500.F;IBM5.AX;^NQUSS2791AUDN;IBM5.AX;SVCUSD=X
BEI.DE;ZPRC.SG;LGJ1628-C.BO;^NQG1000AUD;LGJ1628-C.BO;SGDLBP=X
BDT.TO;BKF.A;IBSZ6.AX;^NQAU1000EUR;IBSZ6.AX;SEKISK=X
BDRXF;VISO_GTM_1642.ST;CSGIH6.EX;^NQUSM5757EUR;CSGIH6.EX;29134356=X
BDMN.JK;USB-U.TO;IBV5.AX;^NQEM1700LMJPYN;IBV5.AX;SEKJMD=X
BDEV.L;FUD-A.TO;IBJ6.AX;^NQUSS2353EURT;IBJ6.AX;SARISK=X
BCYP;JBSEEC.SW;CCLFH6.EX;^BKPHT;CCLFH6.EX;SGDEGP=X
BBDC3.SA;BRAQ.A;YDH6.AX;^NQUSL4573EURN;YDH6.AX;SIT=X
BAN.TO;^ACWX;EOA6.AX;INFOO.PA;EOA6.AX;SDGGBP=X
BAIN.PA;CSIO_TTT23.ST;CKH1631-C.BO;^NQUSB2700CAD;CKH1631-C.BO;SOS=X
BAFYY;BABS.A;GK16M.AX;^NQRU1000LMJPYN;GK16M.AX;SGDMUR=X
BACHY;IUSM.MU;ECOFEB16.PA;^NQEMMEA8300LMN;ECOFEB16.PA;19753568.SW
BABP.JK;KCTILLV6CSHB.ST;IBX6.AX;^NQASPA1700JPY;IBX6.AX;SARLKR=X
7164.KL;SS1EUA.MI;GK17H.AX;^NQUSS4570GBPT;GK17H.AX;SGDPKR=X
6388.HK;SYM.PA;IBK5.AX;31172772.Z;IBK5.AX;SARHUF=X
5218.KL;66FF.L;CNHI6C.MDD;^NQUSB5300EURN;CNHI6C.MDD;SARBHD=X
2445.KL;SWEO_RF02.ST;IB17H.AX;BELCP.BR;IB17H.AX;29134355=X
1619.KL;P28127.MI;RNN1530-C.BO;^NQEMMEA3500LMGBP;RNN1530-C.BO;SEKQAR=X
1171.KL;VUTY.AS;IBL6.AX;^CORI2019;IBL6.AX;SARJPY=X
0718.HK;SYBU.DU;ECOFEB17.PA;^NQBRIC3000LMEURN;ECOFEB17.PA;SARCNY=X
0494.HK;BSCJ.A;CK1626-C.BO;^DWCINB;CK1626-C.BO;SEKILS=X
0316.HK;XHD.TO;C1CGH6.EX;^BUCCDFT;C1CGH6.EX;SARXDR=X
0233.HK;BEAR-NHY-HA.OL;SCM1525-C.BO;^NQUSB7530JPYN;SCM1525-C.BO;SARKWD=X
0055.HK;SYBQ.DE;XOT5.AX;^NQUSB3728T;XOT5.AX;SARDKK=X
ZZZ.TO;^VUSE;GK18M.AX;^NQUSB5553LMCAD;GK18M.AX;SRDUSD=X
ZEN.V;DXSC.MU;YDZ5.AX;^NQUSB3745JPYT;YDZ5.AX;SRDEUR=X
ZB-PG;VISO_GTM_1512.ST;SCH1526-C.BO;^NQJP3500LMCADN;SCH1526-C.BO;SARSEK=X
YMI.TO;25290594.MA;IB16K.AX;^NQUSB1777JPY;IB16K.AX;SBDUSD=X
YEWB;FFLA3CK15.MX;CH1631-C.BO;^BUCLDPT;CH1631-C.BO;SGDKWD=X
XYL.V;ESE.PA;STN1530-C.BO;^NQMX1000LMCAD;STN1530-C.BO;SEKAED=X
XBIO;UXM-B.TO;IBSF7.AX;^NQTW1000T;IBSF7.AX;SEKINR=X
WTE.TO;5X63.F;NBV1529-C.BO;^NQUSB5333EURT;NBV1529-C.BO;SGDTWD=X
WRN.TO;EXV6.SG;66109155.EX;^NQUSB3500LM;66109155.EX;19753440.SW
WRB-PB;CAB3.DE;LGM1525-C.BO;^NQLA1000LMGBPT;LGM1525-C.BO;SARSGD=X
WPX.TO;BULL-GULD-X2-S.ST;RNJ1628-C.BO;^NQJP8300CAD;RNJ1628-C.BO;SGDARS=X
WPHM;IS0P.HM;CNHI6A.MDD;^CTKWER;CNHI6A.MDD;SHPCHF=X
WNRP;X64296.TI;IB17M.AX;^NQBR7000LMCADN;IB17M.AX;SEKGIP=X
WJX.TO;O-A.TO;NTJ1628-C.BO;^XTLCCE;NTJ1628-C.BO;SARTRY=X
WEW.TO;NBF_GTM_1569.ST;C2VXZ6.EX;^YHOH859;C2VXZ6.EX;SYPSGD=X
WEQ.TO;93QW.L;IB17K.AX;^NQDMASPA1700EURT;IB17K.AX;SEKANG=X
WDO.TO;BAB.A;CCVKRC-A;^NQUSB2793AUDT;CCVKRC-A;SARLTL=X
WDKA;BULL-BASMET-X3-H.;CJ1628-C.BO;^NQGB8300N;CJ1628-C.BO;SEKBAM=X
VXS.TO;BRA.MI;GLH1526-C.BO;^CEFBLXTR;GLH1526-C.BO;SYPQAR=X
VMY-H.V;KBE.MX;2CNHI6B.MDD;^NQUSB2357GBPN;2CNHI6B.MDD;SYPDKK=X
VPY.V;EUNS.DE;CPRFH6.EX;^NQUSB6570EURT;CPRFH6.EX;SGDCNH=X
VPO-H.V;90TE.L;IBQ6.AX;^NQEMMEA8300LMAUD;IBQ6.AX;SEKMYR=X
VNR.TO;NXF-A.TO;LGZ1531-C.BO;^BWBA-L.YI;LGZ1531-C.BO;SGD=X
VNP.TO;KCTILLV6DSHB.ST;CHX1526-C.BO;^NQUSB5753EUR;CHX1526-C.BO;SEKMXN=X
VLLX;PXS.TO;GLH1631-C.BO;^BCNYCLPT;GLH1631-C.BO;SGDUYU=X
MAO.V;IUSU.SG;GK18H.AX;KBC5L.BR;GK18H.AX;SARHKD=X
VII.TO;AC7TMPM5LSHB.ST;CPBKOB-A;^BCOMCC1T;CPBKOB-A;SARAUD=X
VGO.V;30XB.BE;IBD7.AX;^NQPH1000T;IBD7.AX;SGDILS=X
VGN.V;^EMEY;CHJ1628-C.BO;^NQPL1000JPYT;CHJ1628-C.BO;SEKEGP=X
VABK;CEMC.BE;XDZ5.AX;^NQEU1700LMCAD;XDZ5.AX;SZL=X
USO.V;NBF_4ABK_3705.ST;CM1525-C.BO;^NQUSM1700AUD;CM1525-C.BO;SEKPKR=X
USGIF;SYH.PA;CPIFH6.EX;^NQBRIC7000LMEUR;CPIFH6.EX;SGDLTL=X
USB-PO;45QD.L;CG1526-C.BO;^NQUSB7535EURT;CG1526-C.BO;SHPUSD=X
URBF;SHV.MX;NBU1524-C.BO;ENBLR.FGI;NBU1524-C.BO;19754261.SW
URB-A.TO;NDA_AOGLOBAL1365.;CKJ1530-C.BO;^NQUSB1750AUDT;CKJ1530-C.BO;SCRCHF=X
UR.TO;BEAR-YAR-DNM.OL;YDU5.AX;^NQDMEU8300JPYN;YDU5.AX;SARTND=X
UOVEY;HRSHR-43.TA;IB16X.AX;^BASMLESW;IB16X.AX;SEKAMD=X
UCB.BR;EMLD.PA;IBSN7.AX;^NQUSS1000GBPN;IBSN7.AX;SEKPLN=X
UBQU;XS1327117633.ME;OIH1631-C.BO;BMDU.Z;OIH1631-C.BO;SGDBOB=X
UBN.V;X13261.TI;IBK7.AX;^CTLATR2Y;IBK7.AX;SDGUSD=X
TZZ.TO;30795126.MA;CBKHG6.EX;^BKGIN;CBKHG6.EX;SRDGBP=X
TYCB;HAA-A.TO;CHH1631-C.BO;^NQUSB9578CADN;CHH1631-C.BO;SEKLKR=X
TX.TO;LSIL.AS;CX1526-C.BO;^NQLA1700LMGBPN;CX1526-C.BO;SGDTHB=X
TUS.V;USCO.L;IBSH6.AX;^JBV;IBSH6.AX;SAROMR=X
TSGTF;60TQ.L;66269216.EX;^CMDJXALT;66269216.EX;SEKBRL=X
TSG.V;SYBT.DE;IBO6.AX;^BCNYIMPT;IBO6.AX;SARJOD=X
TRTB;UEFH.SG;LGK1528-C.BO;^NQUSS5553AUD;LGK1528-C.BO;SGDVEF=X
TRL.TO;XS7R.ST;DLH1631-C.BO;^NQLA3500LM;DLH1631-C.BO;SBD=X
TPX-B.TO;SWEO_ASI32.ST;C3SGZ7.EX;^NQGB1000LMEURT;C3SGZ7.EX;19753564.SW
TPX-A.TO;EMBE.MI;CH1526-C.BO;^NQBRICEUR;CH1526-C.BO;SEKHKD=X
TOU.TO;RBO.TO;CV1529-C.BO;^DJBGILC;CV1529-C.BO;SVC=X
TOG.TO;P28093.MI;RNM7.AX;BSE-HC.BO;RNM7.AX;SGDJPY=X
TMI.TO;82032.L;IBG7.AX;WIBRA0001.FGI;IBG7.AX;SEKIDR=X
TMA.TO;PBI-B.TO;CIK1528-C.BO;^UBSOPPTE;CIK1528-C.BO;SVCEUR=X
TIRTZ;68BR.L;GLG1625-C.BO;^NQLA8300LMJPY;GLG1625-C.BO;SGDTRY=X
TII.V;TBND1-46.TA;C3SGZ6.EX;^BNDGLB;C3SGZ6.EX;SGDLKR=X
TFHW;UC84.L;CIMKOU-A;^NQID1000CAD;CIMKOU-A;10367025.EX
TE.V;BTPS.NX;LGN1530-C.BO;^CTHGER6M;LGN1530-C.BO;SEKCZK=X
TBLMY;IBEL.AS;CSGHH6.EX;^EZBTR;CSGHH6.EX;SARRUB=X
SVV.V;590096.BO;IBL5.AX;^RUFBTRGB;IBL5.AX;SGDEUR=X
SVJTY;42HW.L;CLHFK6.EX;18851490.SG;CLHFK6.EX;SGDUSD=X
SVC.TO;BJK.MX;STV1529-C.BO;^NQUSB2777AUDN;STV1529-C.BO;SGDSAR=X
SV.V;^QQXT;LGK1626-C.BO;^NQBR6000GBPT;LGK1626-C.BO;SGDCOP=X
STZ-B;FINWSCK15.MX;GQU5.AX;^BUSYDF;GQU5.AX;SARKES=X
SRA.V;NBF_9AN_A366.ST;GS17U.AX;^NQBR4000GBPT;GS17U.AX;SEKPHP=X
SOLV.BR;CEM2.DE;CHH1526-C.BO;^NQUSB8300N;CHH1526-C.BO;SCREUR=X
SOI.V;^VXUS;STK1626-C.BO;^CTNGTR1Y;STK1626-C.BO;SYPUSD=X
SNF.V;UEF9.NX;ESX5.AX;^DWCBTE;ESX5.AX;SRD=X
SMUUY;^VTHR;GLU1524-C.BO;^NQBR6000EURT;GLU1524-C.BO;SVCCHF=X
SMC.TO;SELCRB.MI;IBH7.AX;PTBM.LS;IBH7.AX;SEKOMR=X
SLOT;P8020-27.TA;ES16H.AX;^NQEMEA1000CAD;ES16H.AX;SEKJOD=X
SLC.V;EXHG.DE;CKF1628-C.BO;^NQBRGBPN;CKF1628-C.BO;SGDNZD=X
SII.TO;226810.KS;EVZ5.AX;^NQUSB8675CADT;EVZ5.AX;10366938.EX
PCBN;P28150.MI;IBJ7.AX;^CTWCPI3Y;IBJ7.AX;SARMXN=X
SGL.TO;EUCO.SW;NBJ1628-C.BO;^NQAU1000LMGBPT;NBJ1628-C.BO;SGDKES=X
SFM.V;PSG90-31.TA;R2:CMIG4T.SA;^CMCEER6M;R2:CMIG4T.SA;SGDTND=X
SES.TO;IBCS.BE;GSU6.AX;^BCOMRLI;GSU6.AX;SGDIDR=X
SEBNF;HEA-V.TO;CLHFG6.EX;^NQPL1000N;CLHFG6.EX;SAREUR=X
SDY.TO;LYYP.F;LGH1631-C.BO;^NQUSB1730EUR;LGH1631-C.BO;SDG=X
SDX.V;VHTX.HM;XTSM6.AX;^NQEURO1000LMAUDT;XTSM6.AX;SGDDKK=X
SCL.TO;10689810.SW;ENV5.AX;^NQSG1000CADT;ENV5.AX;SDGCHF=X
SCAF;UKCO.L;DLG1625-C.BO;^DJBGIYA;DLG1625-C.BO;TWDUSD=X
SBW.V;92XH.L;IBH6.AX;^NQBR6000EURN;IBH6.AX;TWDSGD=X
SBOTF;X86047.TI;CTXKCB-A;^NQUSB8674N;CTXKCB-A;TWDMAD=X
SBFM;EUNR.SG;IBD5.AX;^NQUSB3722CAD;IBD5.AX;TWDKRW=X
SBES;PSG10-29.TA;CNU15-3.SI;^NQBRIC8000LMEURN;CNU15-3.SI;TWDJOD=X
SBAZ;NXF-D.TO;CHM1525-C.BO;^UKCRTR15;CHM1525-C.BO;TWDILS=X
SAB.MC;HBB.TO;CIU1524-C.BO;PTBMP.LS;CIU1524-C.BO;TWDCNH=X
RTMNF;WA83.HM;CNH17-3.SI;^NQBR2000BRLN;CNH17-3.SI;TRYUSD=X
RNX.TO;ETL6.SG;NTK1528-C.BO;^XMAGTRU;NTK1528-C.BO;TRYMAD=X
RMHB;SEBO_048W.ST;STF1628-C.BO;^NQUSB8300AUD;STF1628-C.BO;TRYLKR=X
RLC.TO;FWEU.L;R2:FBMC4T.SA;^NQEURO1000LMJPYN;R2:FBMC4T.SA;TRYKWD=X
RJ.V;M9SH.BE;GQP5.AX;^NQEMMEA8300LMCAD;GQP5.AX;TRYKES=X
REC.V;BBRC.A;IBSJ7.AX;BPHI.Z;IBSJ7.AX;TRYJPY=X
RCBC;ICUADCK10.MX;CMG1526-C.BO;^NQUSB5553LMGBPN;CMG1526-C.BO;TRYGBP=X
RBS-PT;78AJ.L;ENT5.AX;AT07000.MX;ENT5.AX;TRYEUR=X
QTXB;ARGT_GTM_1996.ST;CKN1530-C.BO;^CMLEER2Y;CKN1530-C.BO;TRYBRL=X
QGR.V;93AZ.L;SCQ1527-C.BO;^NQCH1000JPYT;SCQ1527-C.BO;TOPEUR=X
PXBBF;ZPS.TO;GNI6.AX;^NQG3500GBP;GNI6.AX;TNDSEK=X
PWBO;FWEC.SW;IBO5.AX;^NQUSB8779JPY;IBO5.AX;TNDRUB=X
PTM.TO;PYF.TO;R2:FIND11T.SA;^NQDMEU1700JPY;R2:FIND11T.SA;TNDLVL=X
PSH.V;PS5S.BE;SCK1626-C.BO;^NQUSM8300EURN;SCK1626-C.BO;TNDISK=X
PSBR;SEBL_04TR.ST;RS19Z.AX;XUSIN.IS;RS19Z.AX;TNDDKK=X
PRML3.SA;^VONV;NTV1529-C.BO;^NQJP3500LM;NTV1529-C.BO;TNDCZK=X
PRG.V;ZIN.TO;GSZ6.AX;^NQDMASPA1700EURN;GSZ6.AX;THBTWD=X
PRB.V;CSBR.MI;IB16Z.AX;^NQUSB1770GBPN;IB16Z.AX;THBTRY=X
PPERY;^LALT;GJ16M.AX;^NQUSB8677JPYN;GJ16M.AX;THBSGD=X
PPERF;GOVY.L;GLF1628-C.BO;BMDK.Z;GLF1628-C.BO;THBNGN=X
POP.MC;QRI.TO;CHZ1531-C.BO;^NQJP1000LMGBPT;CHZ1531-C.BO;THBEUR=X
POGLY;IDTM.L;ESA6.AX;^BKDAF;ESA6.AX;THBDKK=X
PNP.TO;CD91.DE;NBF1628-C.BO;^NQEMEU3500CAD;NBF1628-C.BO;THBCHF=X
PLZB;LEUC.L;IBT6.AX;^RUFBNUSD;IBT6.AX;TJSUSD=X
PLS.TO;X28327.TI;RV17Z.AX;14358883.SG;RV17Z.AX;TNDPHP=X
PLC.V;DBZJ.DU;CFRIK6.EX;^CORI2018;CFRIK6.EX;THBAUD=X
PUNK;XHYG.DE;C2SGZ6.EX;^NQEURO8300LMGBPN;C2SGZ6.EX;TNDAUD=X
PGS.V;XHYG.SG;ENQ5.AX;^CMARPI1Y;ENQ5.AX;TWDSAR=X
PGM.V;93WE.L;GQI9.AX;^NQZA1000AUD;GQI9.AX;TNDLKR=X
PG.TO;SEB_1103A.ST;GQC6.AX;^BXRTCCST;GQC6.AX;TTDCAD=X
PFM.V;^QLC;RVT8.AX;^NQEM1700GBP;RVT8.AX;TNDEGP=X
PDP.V;AC3GLOBLT6LCS.ST;IBSM6.AX;^NQNL1000JPYN;IBSM6.AX;THBISK=X
PBYA;SPPX.DE;RNI6.AX;399441.SZ;RNI6.AX;TWD=X
PATD;X24866.TI;CHV1529-C.BO;C2791P.SW;CHV1529-C.BO;TWDCNY=X
PATCA;WIP.MX;EQU5.AX;^NQEU8300LMCAD;EQU5.AX;TRYDKK=X
PACM;PSDU-D1.TA;NTG1625-C.BO;^NQUSB9000JPYN;NTG1625-C.BO;TNDCAD=X
P.TO;X7PS.MI;XDH6.AX;^BCOMF5T;XDH6.AX;THBLTL=X
OTTW;ERNS.L;GNZ9.AX;RPBR.L;GNZ9.AX;TNDSAR=X
ORX.V;UT3USA.SW;EVI5.AX;^IBLDV7P;EVI5.AX;THBIDR=X
OR.TO;EU35.L;GV16U.AX;^NQUSB8570EUR;GV16U.AX;TRYILS=X
OPS.V;LYMI.SG;RNM9.AX;^BUAGDAT;RNM9.AX;TRYAED=X
OPBK;DBZJ.HM;ENS5.AX;^NQDM3500CAD;ENS5.AX;TNDILS=X
OMBP;IUSM.F;GQT7.AX;^NQUSL5757CAD;GQT7.AX;TWDKES=X
OJCB;EEB.PA;ESG6.AX;^NQGB3500LMN;ESG6.AX;THBEGP=X
OGI.V;BULL-SOCKER-X2-H.;YOH5.AX;^NQUSL5373EURT;YOH5.AX;TWDMXN=X
OCN.L;VETY.L;GQZ8.AX;^R2LBTATR;GQZ8.AX;TWDLTL=X
NWN.V;SGAO_AKU3.ST;CLRQRJ-A;^NQUSB8673T;CLRQRJ-A;THBKRW=X
NUS.TO;14LU.L;IBR5.AX;^NQUSB9570EURN;IBR5.AX;TRYZAR=X
NTIOF;SXRN.DE;EOF8.AX;^NQUSS2791EUR;EOF8.AX;TWDLKR=X
NTB.TO;SEBO_007B.ST;RV18M.AX;^NQMEA1700T;RV18M.AX;THBLBP=X
NRLB;JB6E.F;CHK1626-C.BO;^NQUSB0573EURN;CHK1626-C.BO;THBPHP=X
NPC.TO;EBR.PA;ES16K.AX;^NQUSS8300EUR;ES16K.AX;TRYINR=X
NJCB;TSY3.L;CNN15-2.SI;^NQDMEU3500LMGBP;CNN15-2.SI;TWDGBP=X
NGC.V;KSNAS-51.TA;GNT8.AX;^NQNA8300EUR;GNT8.AX;THBNZD=X
NEV.V;XACT-BULL-2.ST;R2:CCPR3T.SA;^BKLTL;R2:CCPR3T.SA;TZS=X
NDQ.TO;CRPX.L;CMJSZB-A;^NQEMEA1000AUD;CMJSZB-A;THBOMR=X
NCG.V;IS3V.MU;YTI5.AX;^NQIN1000INRT;YTI5.AX;TTDCHF=X
NBZ.TO;IEF.MX;EOF1.AX;^DZFTR;EOF1.AX;TNDTWD=X
NBU.V;JB6A.SG;GSH8.AX;^NQBRSCGBP;GSH8.AX;TNDTHB=X
CDI.TO;BARC_KID18.ST;RNH1526-C.BO;^XMAGTR;RNH1526-C.BO;TNDJOD=X
MZIM;SXPPEX.SW;CKU1524-C.BO;^NQTR1000CADN;CKU1524-C.BO;29134359=X
CCT.TO;UB82.L;R2:CIQU4T.SA;^NQDMASIA3500CADN;R2:CIQU4T.SA;THBCAD=X
MU7.SI;ARGT_GTM_2173.ST;CPIFU6.EX;^NQUSB5300AUDN;CPIFU6.EX;TTDGBP=X
MSVB;42GO.L;YTSH6.AX;^NQID1000IDRT;YTSH6.AX;TRYCHF=X
MRFG3.SA;BLV.A;EOA1.AX;^NQBRIC8000GBP;EOA1.AX;TWDHKD=X
MOUR.BR;19PP.L;GNZ6.AX;^DJCIBRP;GNZ6.AX;TRYTWD=X
MOG-B;BRTRAC10.MX;CC86Z.AS;^NQUSB8570CADN;CC86Z.AS;TMT=X
MOBB.BR;P93882.MI;GQM9.AX;^NQEU1000CAD;GQM9.AX;TWDNZD=X
MNHN;M9SH.F;CPGGM6.EX;^NQBR4000AUDN;CPGGM6.EX;THBAED=X
MMA.V;HAL-A.TO;RNT5.AX;^NQGB1000LMCADT;RNT5.AX;TMTCHF=X
MLN.V;5X63.HM;YTSZ5.AX;^NQUSB6570CAD;YTSZ5.AX;THBRUB=X
MLGT;IDTL.L;CNZ15-3.SI;^NQRU1000LMAUD;CNZ15-3.SI;THBVEF=X
MHI.AX;IBCX.MU;R2:CEBR6T.SA;^XTLAEE;R2:CEBR6T.SA;TNDLTL=X
MELE.BR;62UP.L;ESI6.AX;^NQBRIC4000JPYT;ESI6.AX;TWDHUF=X
MEGA.JK;X63924.TI;R2:CEBR3T.SA;^NQUSB1770EUR;R2:CEBR3T.SA;TRYCNY=X
MDIBY;SWER-BEAR.ST;ENA6.AX;^NQBR5000;ENA6.AX;TWDAUD=X
MCBF;CORP.SW;R2:SPXI11T.SA;^NQMEA3500GBP;R2:SPXI11T.SA;TNDIDR=X
MCB.TO;PHW.TO;R2:LIXC3T.SA;^SPBDU20T;R2:LIXC3T.SA;TWDMYR=X
MBVA;18MX.DE;ENI5.AX;^NQUSB4577GBPN;ENI5.AX;THBZWL=X
MBO.V;SWEO_ETI05.ST;61550528.EX;^BKCJP;61550528.EX;TNDNZD=X
MBN.TO;XMC.TO;OIG1625-C.BO;BFSF.Z;OIG1625-C.BO;TTD=X
MBG.V;ZEL.TO;GS18H.AX;BPHK.Z;GS18H.AX;THBBRL=X
MBDE;KSDAX-55.TA;EQM6.AX;^NQEURO8300AUDN;EQM6.AX;THBKWD=X
MAIL.L;19KH.L;EOA0.AX;^NQEMEU1000LMCAD;EOA0.AX;TWDAED=X
LYD.TO;BX4.NX;RVT9.AX;^NQEM3500LMJPY;RVT9.AX;TRYOMR=X
LXMO;BEAR-GULD-X2-S.ST;R2:CESP6T.SA;^NQUSB2779;R2:CESP6T.SA;TNDZAR=X
LSI.V;XU61.F;CMM1525-C.BO;^UBCILPER;CMM1525-C.BO;THBPLN=X
LRE.TO;EUND.MU;NBK1626-C.BO;BEHC.BR;NBK1626-C.BO;THBCOP=X
LND.V;MA13.NX;CEEFK6.EX;^NQUSB7000EUR;CEEFK6.EX;TWDISK=X
LMR.V;CSIO_BRIC93.ST;NBH1631-C.BO;^NQEU8300JPYN;NBH1631-C.BO;TRYCAD=X
LMP.TO;LQDE.SW;GNZ5.AX;BINU.Z;GNZ5.AX;TRYNOK=X
LII.TO;JB6M.SG;ENB5.AX;^NQDE1000GBPT;ENB5.AX;THBBMD=X
LGO.V;A0M030.MU;GVU9.AX;^NQUSB5753JPY;GVU9.AX;TWDIDR=X
LFE.TO;22LR.L;GNH5.AX;^NQDMEU8300LMJPY;GNH5.AX;TWDKWD=X
LEN-B;LOIL.MI;CONHH6.EX;^NQUSB0530GBPT;CONHH6.EX;THBQAR=X
LCS.TO;5X60.SG;CTXCD.AX;^DJUSBK;CTXCD.AX;TRYLVL=X
LBS.TO;X34947.TI;CKK1626-C.BO;000137.SS;CKK1626-C.BO;TMTUSD=X
KWH-UN.TO;SJNK.SW;ESK5.AX;^BCOMLH2;ESK5.AX;TNDHUF=X
KTYB;X12133.TI;GNT9.AX;^NQBR5000GBP;GNT9.AX;THBBOB=X
KPT.TO;BEL.BR;R2:CPLE5T.SA;^NQUSL5373T;R2:CPLE5T.SA;THBMXN=X
KISB;LBUL.MI;GNP9.AX;^BURXALET;GNP9.AX;TNDAED=X
